Week_of,new_sample_id,sample_id,sample_barcode,batch,trytofind_B18,sample_code,date_sampling,days_in_transit_storage,replicate,date_extract,conc_ext_by,aliquot_weight_unfrozen_g,elution_vol_ul,weight_vol_extracted_ml,effective_vol_extracted_ml,bCoV_spike_vol_ul,GFP_spike_vol_ul,RNA_qubit_HS_template_ul,RNA_ng_ul_qubit_HS,DNA_ng_ul_qubit_HS,DNA_qubit_HS_template_ul,DNA_ng_ul_qubit_all,RNA_ng_ul_qubit_all
,C_C_S68_081120_4,C_S68_081120_4,,B04,,C_C_S68,8/11/20,22,4,9/2/20,Adrian,63.66,200,40.175,40,50,20,,,,,,
,C_C_S68_062320_1,C_S68_062320_1,,B04,,C_C_S68,6/23/20,71,1,9/2/20,Adrian,63.68,200,40.195,40,50,20,1,170,4,15.4,15.4,170
,C_C_N49_042120_1,C_N49_042120_1,,B09,,C_C_N49,4/21/20,140,1,9/8/20,Adrian,63.7,200,40.215,40,50,20,,,,,,
,C_C_S68_061620_1,C_S68_061620_1,,B04,,C_C_S68,6/16/20,78,1,9/2/20,Adrian,63.7,200,40.215,40,50,20,,,,,,
,C_C_N49_060920_1,C_N49_060920_1,,B09,,C_C_N49,6/9/20,91,1,9/8/20,Adrian,63.7,200,40.215,40,50,20,,,,,,
17-Aug,control_control_PBS_101220_1,control_PBS_B14_1,,B14,,control_control_PBS,10/12/20,0,1,10/12/20,Adrian,63.7,200,40.215,40,50,20,1,<5,4,<0.05,<0.05,<5
,K_K_INF_073120_1,K_K_INF_073120_1,,B16,,K_K_INF,7/31/20,2,1,10/29/20,Adrian,63.7,200,40.215,40,50,20,,,,,,
,C_C_S68_052720_1,C_S68_052720_1,,B04,,C_C_S68,5/27/20,98,1,9/2/20,Adrian,63.72,200,40.235,40,50,20,,,,,,
,C_C_S68_072820_2,C_S68_072820_2,,B06,,C_C_S68,7/28/20,37,2,9/3/20,Adrian,63.78,200,40.295,40,50,20,,,,,,
,B_B_SQ_071520_4,B_SQ_071520_4,,B07,,B_B_SQ,7/15/20,54,4,9/7/20,Adrian,63.8,200,40.315,40,50,20,1,33.8,3,3.38,3.38,33.8
,C_C_ADA_060920_2,C_ADA_060920_2,,B15,,C_C_ADA,6/9/20,128,2,10/15/20,Adrian,63.8,200,40.315,40,50,20,,,,,,
7-Sep,E_E_INF_090820_4,E_INF_090820_4,,B18,B18,E_E_INF,9/8/20,57,4,11/4/20,Adrian,63.8,200,40.315,40,50,20,,,,,,
,C_C_ADA_072820_2,C_ADA_072820_2,,B15,,C_C_ADA,7/28/20,79,2,10/15/20,Adrian,63.8,200,40.315,40,50,20,,,,,,
,K_K_INF_062620_1,K_K_INF_062620_1,,B16,,K_K_INF,6/26/20,2,1,10/29/20,Adrian,63.8,200,40.315,40,50,20,,,,,,
24-Aug,B_B_SQ_082520_4,B_SQ_082520_4,,B07,,B_B_SQ,8/25/20,13,4,9/7/20,Adrian,63.8,200,40.315,40,40,40,1,74.8,3,8.6,8.6,74.8
,C_C_S68_042120_3,C_S68_042120_3,,B06,,C_C_S68,4/21/20,135,3,9/3/20,Adrian,63.86,200,40.375,40,50,20,,,,,,
,C_C_S68_061620_3,C_S68_061620_3,,B06,,C_C_S68,6/16/20,79,3,9/3/20,Adrian,63.86,200,40.375,40,50,20,,,,,,
,C_C_N49_072820_4,C_N49_072820_4,,B09,,C_C_N49,7/28/20,42,4,9/8/20,Adrian,63.9,200,40.415,40,50,20,,,,,,
14-Sep,C_C_N49_091520_4,C_N49_091520_4,,B18,B18,C_C_N49,9/15/20,50,4,11/4/20,Adrian,63.9,200,40.415,40,50,20,,,,,,
,K_K_INF_081420_3,K_K_INF_081420_3,,B17,,K_K_INF,8/14/20,2,3,10/29/20,Adrian,63.9,200,40.415,40,50,20,,,,,,
,K_K_INF_082820_2,K_K_INF_082820_2,,B17,,K_K_INF,8/28/20,2,2,10/29/20,Adrian,63.9,200,40.415,40,50,20,,,,,,
,C_C_S68_042820_2,C_S68_042820_2,,B05,,C_C_S68,4/28/20,128,2,9/3/20,Adrian,64,200,40.515,40,50,20,,,,,,
,C_C_S68_060920_2,C_S68_060920_2,,B05,,C_C_S68,6/9/20,86,2,9/3/20,Adrian,64,200,40.515,40,50,20,,,,,,
,control_control_PBS_083120_1,control_PBS_B2,,B02,,control_control_PBS,8/31/20,0,1,8/31/20,Adrian,64,200,40.515,40,50,20,,,,,,
14-Sep,E_E_INF_091420_4,E_INF_091420_4,,B18,B18,E_E_INF,9/14/20,51,4,11/4/20,Adrian,64,200,40.515,40,50,20,,,,,,
,K_K_INF_071020_1,K_K_INF_071020_1,,B16,,K_K_INF,7/10/20,2,1,10/29/20,Adrian,64,200,40.515,40,50,20,,,,,,
,K_K_INF_071720_1,K_K_INF_071720_1,,B16,,K_K_INF,7/17/20,2,1,10/29/20,Adrian,64,200,40.515,40,50,20,,,,,,
,K_K_INF_080720_1,K_K_INF_080720_1,,B16,,K_K_INF,8/7/20,2,1,10/29/20,Adrian,64,200,40.515,40,50,20,,,,,,
,K_K_INF_080720_2,K_K_INF_080720_2,,B16,,K_K_INF,8/7/20,2,2,10/29/20,Adrian,64,200,40.515,40,50,20,,,,,,
,K_K_INF_081420_2,K_K_INF_081420_2,,B17,,K_K_INF,8/14/20,2,2,10/29/20,Adrian,64,200,40.515,40,50,20,,,,,,
,K_K_INF_082120_1,K_K_INF_082120_1,,B16,,K_K_INF,8/21/20,2,1,10/29/20,Adrian,64,200,40.515,40,50,20,,,,,,
,control_control_PBS_090220_1,control_PBS_B4_1,,B04,,control_control_PBS,9/2/20,0,1,9/2/20,Adrian,64.06,200,40.575,40,50,20,1,<5,4,<0.05,<0.05,<5
,C_C_ADA_060920_4,C_ADA_060920_4,,B14,,C_C_ADA,6/9/20,125,4,10/12/20,Adrian,64.1,200,40.615,40,50,20,,,,,,
,C_C_N49_051920_1,C_N49_051920_1,,B09,,C_C_N49,5/19/20,112,1,9/8/20,Adrian,64.1,200,40.615,40,50,20,,,,,,
,C_C_ADA_081120_3,C_ADA_081120_3,,B15,,C_C_ADA,8/11/20,65,3,10/15/20,Adrian,64.1,200,40.615,40,50,20,,,,,,
,K_K_INF_061220_1,K_K_INF_061220_1,,B16,,K_K_INF,6/12/20,2,1,10/29/20,Adrian,64.1,200,40.615,40,50,20,,,,,,
,K_K_INF_073120_2,K_K_INF_073120_2,,B17,,K_K_INF,7/31/20,2,2,10/29/20,Adrian,64.1,200,40.615,40,50,20,,,,,,
,C_C_S68_051920_3,C_S68_051920_3,,B06,,C_C_S68,5/19/20,107,3,9/3/20,Adrian,64.16,200,40.675,40,50,20,,,,,,
,C_C_ADA_052820_3,C_ADA_052820_3,,B14,,C_C_ADA,5/28/20,137,3,10/12/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,C_C_ADA_060920_3,C_ADA_060920_3,,B14,,C_C_ADA,6/9/20,125,3,10/12/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,C_C_ADA_063020_3,C_ADA_063020_3,,B14,,C_C_ADA,6/30/20,104,3,10/12/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,C_C_ADA_063020_4,C_ADA_063020_4,,B14,,C_C_ADA,6/30/20,104,4,10/12/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,K_K_INF_070220_2,K_K_INF_070220_2,,B17,,K_K_INF,7/2/20,2,2,10/29/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
