Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
G9,FALSE,5x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,37.98987407,1.198199321,102,102_G9,N,Y,N,,,,,,,,,,,,,
F11,FALSE,J_UCV_082720_2,Xeno IPC man,VIC,Unknown,30.916073,1.5319496,80,80_F11,N,N,N,,,,,,,,,,,,,
C8,FALSE,B_SQ_090120_4,N1 IVT man,FAM,Unknown,37.46401,1.828995,78,78_C8,N,N,N,,,,,,,,,,,,,
H12,FALSE,10x_C_ADA_063020_3,N1 Twist man,FAM,Unknown,38.01865737,2.004968355,96,96_H12,N,Y,N,,,,,,,,,,,,,
G7,FALSE,5x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,37.26204603,2.017738466,102,102_G7,N,Y,N,,,,,,,,,,,,,
F10,FALSE,J_UCV_082720_2,Xeno IPC man,VIC,Unknown,30.88022,2.0784369,80,80_F10,N,N,N,,,,,,,,,,,,,
G5,FALSE,C_S68_060920_1,N1 Twist man,FAM,Unknown,38.2388751,2.23841935,92,92_G5,N,N,N,,,,,,,,,,,,,
D5,FALSE,10x_C_N49_081120_4,N1 Twist man,FAM,Unknown,37.83906878,2.264380764,96,96_D5,N,Y,N,,,,,,,,,,,,,
H10,FALSE,J_UCV_091020_1,Xeno IPC man,VIC,Unknown,30.863743,2.3912754,80,80_H10,N,N,N,,,,,,,,,,,,,
H4,FALSE,10x_C_S68_071420_1,N1 Twist man,FAM,Unknown,37.69211824,2.501427993,96,96_H4,N,Y,N,,,,,,,,,,,,,
B8,FALSE,B_SQ_082520_4,N1 IVT man,FAM,Unknown,36.922184,2.5978863,78,78_B8,N,N,N,,,,,,,,,,,,,
A4,FALSE,1x_C_N49_090120_4,N1 Twist man,FAM,Unknown,37.86291103,2.707421612,100,100_A4,N,Y,N,,,,,,,,,,,,,
